City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Aswan,EG,2022-05-31 15:40:52,24.0934,32.907,103.19,5,0,9.86
259,Paamiut,GL,2022-05-31 15:40:53,61.994,-49.6678,36.48,80,99,3.58
260,Lagunas,PE,2022-05-31 15:40:53,-5.2269,-75.6753,85.66,60,93,3.38
261,Havoysund,NO,2022-05-31 15:40:53,70.9963,24.6622,48.43,56,99,15.99
262,Qaanaaq,GL,2022-05-31 15:40:54,77.484,-69.3632,24.1,64,11,4.52
263,Ylivieska,FI,2022-05-31 15:40:54,64.0833,24.55,63.32,60,100,10.25
264,Arles,FR,2022-05-31 15:40:54,43.6768,4.6303,82.6,34,0,9.22
265,Lokoshaza,HU,2022-05-31 15:40:55,46.4333,21.2333,75.83,64,98,2.62
266,Luang Prabang,LA,2022-05-31 15:40:55,19.8856,102.1347,74.37,95,99,1.83
267,Usinsk,RU,2022-05-31 15:40:56,65.9939,57.5281,61.16,32,6,11.01
268,Wattegama,LK,2022-05-31 15:40:56,6.7989,81.4808,77.65,74,100,13.4
269,Palmer,US,2022-05-31 15:40:56,42.1584,-72.3287,89.85,48,75,6.91
270,Ondjiva,AO,2022-05-31 15:40:57,-17.0667,15.7333,80.64,21,0,16.11
271,Pemberton,CA,2022-05-31 15:40:57,50.3164,-122.8027,53.29,81,100,1.32
272,Haines Junction,CA,2022-05-31 15:41:58,60.7522,-137.5108,44.55,61,9,2.3
273,Ucluelet,CA,2022-05-31 15:41:58,48.9329,-125.5528,52.09,92,53,3.2
274,Kununurra,AU,2022-05-31 15:41:58,-15.7667,128.7333,69.78,83,85,1.14
275,Kavaratti,IN,2022-05-31 15:41:59,10.5669,72.642,83.03,72,100,16.33
276,Biak,ID,2022-05-31 15:41:59,-0.9131,122.8766,77.0,87,31,2.42
277,Srednekolymsk,RU,2022-05-31 15:42:00,67.45,153.6833,58.73,54,100,7.99
278,Greensburg,US,2022-05-31 15:37:47,40.3015,-79.5389,86.63,64,0,6.91
279,Maragogi,BR,2022-05-31 15:42:00,-9.0122,-35.2225,81.97,72,24,7.56
280,Ha Giang,VN,2022-05-31 15:42:00,22.8333,104.9833,75.45,99,84,1.5
281,Kashi,CN,2022-05-31 15:42:01,39.4547,75.9797,76.21,9,68,20.13
282,Miles City,US,2022-05-31 15:42:01,46.4083,-105.8406,54.57,50,40,25.32
283,Belaya Gora,RU,2022-05-31 15:42:02,68.5333,146.4167,51.87,67,100,4.47
284,Vardo,NO,2022-05-31 15:42:02,70.3705,31.1107,42.78,87,0,5.75
285,Araci,BR,2022-05-31 15:42:03,-11.3333,-38.9667,86.18,46,42,8.95
286,Tanda,IN,2022-05-31 15:42:03,26.55,82.65,99.1,20,3,6.06
287,Fairbanks,US,2022-05-31 15:39:12,64.8378,-147.7164,58.91,62,0,5.75
288,Esperance,AU,2022-05-31 15:42:04,-33.8667,121.9,56.55,71,95,4.88
289,Asekeyevo,RU,2022-05-31 15:42:04,53.5742,52.7972,59.0,83,66,6.29
290,Portland,US,2022-05-31 15:38:13,45.5234,-122.6762,59.29,80,75,5.01
291,Shenjiamen,CN,2022-05-31 15:42:05,29.9576,122.298,67.24,98,100,13.94
292,Norman Wells,CA,2022-05-31 15:41:19,65.282,-126.8329,57.24,62,75,10.36
293,Rantauprapat,ID,2022-05-31 15:42:06,2.1,99.8333,74.53,97,62,2.71
294,Goderich,CA,2022-05-31 15:42:06,43.7501,-81.7165,75.52,64,19,16.11
